日期,客户编码,客户名称,产品编码,产品名称,送量,退量,销量,金额
2014/9/1,1011991,KFC---张江店高科,351,4寸汉堡面包(570g),48,0,48,292.32
2014/9/1,1011991,KFC---张江店高科,352,3.5英寸汉堡面包(470g),32,0,32,187.2
2014/9/1,1011991,KFC---张江店高科,371,长方形汉堡面包(620g),32,0,32,214.4
2014/9/1,1011991,KFC---张江店高科,10295,燕麦恰巴达面包(620g）,8,0,8,53.04
2014/9/1,1013009,KFC---七宝店,351,4寸汉堡面包(570g),24,0,24,146.16
2014/9/1,1013009,KFC---七宝店,352,3.5英寸汉堡面包(470g),40,0,40,234
2014/9/1,1013009,KFC---七宝店,371,长方形汉堡面包(620g),16,0,16,107.2
2014/9/1,1013015,KFC---由由店,351,4寸汉堡面包(570g),24,0,24,146.16
2014/9/1,1013015,KFC---由由店,352,3.5英寸汉堡面包(470g),8,0,8,46.8
2014/9/1,1013015,KFC---由由店,371,长方形汉堡面包(620g),8,0,8,53.6
2014/9/1,1013015,KFC---由由店,10295,燕麦恰巴达面包(620g）,4,0,4,26.52
2014/9/1,1013018,KFC---七莘店,351,4寸汉堡面包(570g),32,0,32,194.88
2014/9/1,1013018,KFC---七莘店,352,3.5英寸汉堡面包(470g),40,0,40,234
2014/9/1,1013018,KFC---七莘店,371,长方形汉堡面包(620g),16,0,16,107.2
2014/9/1,1013032,农工商---NO120,10164,曼可顿美味方纯软心巧克力面包(125g),3,0,3,10.5
2014/9/1,1013032,农工商---NO120,10175,曼可顿黄金堡法式软丝面包,0,1,-1,-8.1
2014/9/1,1013032,农工商---NO120,10203,曼可顿特选系列粗粮吐司面包(400g),2,0,2,12.6
2014/9/1,1013032,农工商---NO120,10231,曼可顿黄金蛋糕-原味(170g),1,2,-1,-7.4
2014/9/1,1013032,农工商---NO120,10263,曼可顿超醇面包(400g),3,0,3,23.88
2014/9/1,1013032,农工商---NO120,10400,曼可顿强化营养面包（甜味）(310g),0,1,-1,-4.9
2014/9/1,1013033,迪亚联华---真如店,6,曼可顿牛奶三文治面包-芝士口味(350g),11,0,11,66
2014/9/1,1013033,迪亚联华---真如店,10156,曼可顿美味方经典红豆面包(125g),6,0,6,21
2014/9/1,1013033,迪亚联华---真如店,10172,曼可顿特选系列经典白面包(400g),5,0,5,29.5
2014/9/1,1013033,迪亚联华---真如店,10175,曼可顿黄金堡法式软丝面包,3,0,3,23.1
2014/9/1,1013033,迪亚联华---真如店,10203,曼可顿特选系列粗粮吐司面包(400g),4,0,4,25.2
2014/9/1,1013033,迪亚联华---真如店,10216,曼可顿红豆面包(136g),3,0,3,10.8
2014/9/1,1013033,迪亚联华---真如店,10226,曼可顿皇冠面包-奶皇味(200g),5,0,5,38
2014/9/1,1013033,迪亚联华---真如店,10231,曼可顿黄金蛋糕-原味(170g),9,0,9,63
2014/9/1,1013033,迪亚联华---真如店,10263,曼可顿超醇面包(400g),7,0,7,52.22
2014/9/1,1013034,迪亚联华---罗秀店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),8,0,8,48
2014/9/1,1013034,迪亚联华---罗秀店,6,曼可顿牛奶三文治面包-芝士口味(350g),8,0,8,48
2014/9/1,1013034,迪亚联华---罗秀店,10164,曼可顿美味方纯软心巧克力面包(125g),3,0,3,10.5
2014/9/1,1013034,迪亚联华---罗秀店,10172,曼可顿特选系列经典白面包(400g),4,0,4,23.6
2014/9/1,1013034,迪亚联华---罗秀店,10175,曼可顿黄金堡法式软丝面包,4,0,4,30.8
2014/9/1,1013034,迪亚联华---罗秀店,10203,曼可顿特选系列粗粮吐司面包(400g),5,0,5,31.5
2014/9/1,1013034,迪亚联华---罗秀店,10231,曼可顿黄金蛋糕-原味(170g),2,0,2,14
2014/9/1,1013034,迪亚联华---罗秀店,10263,曼可顿超醇面包(400g),9,0,9,67.14
2014/9/1,1013054,KFC---荣乐店,351,4寸汉堡面包(570g),28,0,28,170.52
2014/9/1,1013054,KFC---荣乐店,352,3.5英寸汉堡面包(470g),12,0,12,70.2
2014/9/1,1013054,KFC---荣乐店,371,长方形汉堡面包(620g),8,0,8,53.6
2014/9/1,1013059,KFC--金高店,351,4寸汉堡面包(570g),32,0,32,194.88
2014/9/1,1013059,KFC--金高店,352,3.5英寸汉堡面包(470g),28,0,28,163.8
2014/9/1,1013059,KFC--金高店,371,长方形汉堡面包(620g),4,0,4,26.8
